Nr;Kategorie;Frage;Antwort A;Antwort B;Antwort C;Antwort D;Loesung;Paragraf;Begruendung
380;Arbeitszeit;Darf der BR "Homeoffice-Pauschalen" fordern?;Nein;Ja (Verhandlungssache);Nur im Büro;Nur nachts;B;§ 87 BetrVG;Zwar kann der BR die Höhe oft nicht erzwingen, aber die Rahmenbedingungen der Kosten erstattung mitgestalten.
381;Stahl;Was ist ein "Schlichter" im Tarifstreit?;Der Chef;Neutraler Vermittler bei Tarifverhandlungen;Ein Azubi;Ein Polizist;B;Tarifrecht;Er hilft, wenn sich Gewerkschaft und AG-Verband nicht auf einen neuen Lohn einigen können.
382;Kuendigung;Darf der BR einer Kündigung wegen "Lebensalter" widersprechen?;Ja (Sozialauswahl);Nein;Nur bei Azubis;Nur im Sommer;A;§ 102 Abs. 3 BetrVG;Wenn der AG ältere MA entlassen will und jüngere (weniger schutzwürdige) behält.
383;Rechte;Darf der BR "BR-Sprechstunden" einführen?;Nein;Ja (während der Arbeitszeit);Nur in der Pause;Nur nachts;B;§ 39 BetrVG;Der BR kann Zeiten festlegen, in denen MA ihre Anliegen persönlich vortragen können.
384;Arbeitsschutz;Wer ist für "Brandschutzhelfer" zuständig?;Die Feuerwehr;Der Arbeitgeber (Bestellung);Der BR;Der Azubi;B;§ 10 ArbSchG;Der AG muss eine ausreichende Anzahl von Beschäftigten durch Unterweisung und Übung als Brandschutzhelfer benennen.
385;Personal;Darf der BR "Anforderungsprofile" mitgestalten?;Nein;Ja (bei Stellenausschreibungen);Nur bei Chefs;Nur bei Azubis;B;§ 95 BetrVG;Bei der Festlegung von Auswahlrichtlinien (was ein Bewerber können muss) redet der BR mit.
386;IT-Datenschutz;Darf der AG "Teams/Zoom" zur Leistungskontrolle nutzen?;Ja;Nein (Mitbestimmung/Verbot);Nur bei Apple;Nur bei Azubis;B;§ 87 Abs. 1 Nr. 6 BetrVG;Statusanzeigen ("abwesend") dürfen nicht zur Überwachung der Arbeitsleistung herangezogen werden.
387;Gehalt;Was ist eine "Sonderzahlung"?;Normaler Lohn;Zahlung aus besonderem Anlass (z.B. Jubiläum);Ein Abzug;Ein Kredit;B;Arbeitsrecht;Zusätzliche Leistungen des AG, oft in BVs oder Tarifverträgen geregelt.
388;Bildung;Darf der BR Schulungen zur "Betrieblichen Altersvorsorge" besuchen?;Nein;Ja (wenn er dazu beraten soll);Nur bei Streik;Nur privat;B;§ 37 Abs. 6 BetrVG;Da der BR über bAV-Systeme mitentscheidet, muss er auch die rechtlichen Grundlagen kennen.
389;Allgemein;Was ist ein "Konzern-BR-Vorsitzender"?;Der Konzernchef;Sprecher des KBR;Ein Azubi;Ein Polizist;B;§ 55 BetrVG;Er vertritt den Konzernbetriebsrat gegenüber der Konzernleitung.
390;Arbeitszeit;Darf der BR "Vertrauensarbeitszeit" ablehnen?;Nein;Ja (Mitbestimmung);Nur im Büro;Nur nachts;B;§ 87 Abs. 1 Nr. 2 BetrVG;Da Vertrauensarbeitszeit die Lage der Arbeitszeit betrifft, kann der BR Bedingungen stellen.
391;Stahl;Was regelt die "Tarifliche Zusatzvergütung (T-ZUG)"?;Pausen;Spezielle jährliche Extrazahlung/Freizeitoption;Lohn;Urlaub;B;TV Metall/Stahl;Wahlmöglichkeit zwischen Geld oder zusätzlichen freien Tagen für bestimmte MA-Gruppen.
392;Kuendigung;Was ist ein "Kündigungsgrund in der Person"?;Diebstahl;Langzeiterkrankung / fehlende Eignung;Streik;Pause;B;§ 1 KSchG;Der MA kann nicht mehr arbeiten (z.B. durch Krankheit), auch wenn er eigentlich will.
393;Rechte;Darf der BR "Mitarbeiter-Gespräche" begleiten?;Nein;Ja (auf Wunsch des MA);Nur bei Kündigung;Nur nachts;B;§ 82 Abs. 2 BetrVG;Der MA kann verlangen, dass ein BR-Mitglied bei einem Gespräch über seine Leistung oder Entwicklung dabei ist.
394;Arbeitsschutz;Muss der BR bei der "Lichtstärke" am Arbeitsplatz mitreden?;Nein;Ja (Gesundheitsschutz);Nur bei Büros;Nur nachts;B;§ 87 Abs. 1 Nr. 7 BetrVG;Gute Beleuchtung ist Teil des Arbeitsschutzes und unterliegt der Mitbestimmung.
395;Personal;Darf der AG "Fremdfirmen" ohne BR-Info einsetzen?;Ja;Nein (Unterrichtungspflicht);Nur bei Stahl;Nur bei Azubis;B;§ 80 Abs. 2 / § 92 BetrVG;Der BR muss über den Einsatz von Fremdfirmenpersonal informiert werden (Umfang und Dauer).
396;IT-Datenschutz;Was ist eine "Datenschutz-Folgenabschätzung"?;Ein Test;Prüfung hoher Risiken für Daten;Ein Kündigungsgrund;Ein Abzug;B;Art. 35 DSGVO;Muss durchgeführt werden, wenn eine Datenverarbeitung (z.B. neue Überwachungssoftware) hohe Risiken für MA birgt.
397;Gehalt;Was ist eine "Erschwerniszulage"?;Bonus für Urlaub;Geld für Schmutz/Hitze/Lärm;Ein Abzug;Ein Kredit;B;Tarifrecht;Zuschläge für Tätigkeiten, die unter belastenden Bedingungen stattfinden.
398;Bildung;Darf der BR-Vorsitzende mehr Schulungen besuchen?;Nein;Meist ja (wegen höherer Verantwortung);Nur bei Streik;Nur privat;B;§ 37 Abs. 6 BetrVG;Der Vorsitzende benötigt oft zusätzliches Wissen in Führung, Organisation und Kommunikation.
399;Allgemein;Was ist ein "Beschlussentwurf"?;Ein Gesetz;Vorbereiteter Vorschlag für eine BR-Abstimmung;Ein Kündigungsgrund;Ein Abzug;B;§ 33 BetrVG;Damit der BR sauber entscheiden kann, sollten Anträge vor der Sitzung schriftlich formuliert sein.
400;Wirtschaft;Bleibt der BR bei einer Insolvenz im Amt?;Nein;Ja (bis zur Betriebsstillegung);Nur bei Stahl;Nur bei Chefs;B;§ 1 InsO / BetrVG;Auch im Insolvenzverfahren bleibt der BR der gesetzliche Vertreter der Belegschaft gegenüber dem Insolvenzverwalter.
401;Wirtschaft;Was ist ein "Insolvenzgeld"?;Ein Kredit;Lohnersatz durch die Arbeitsagentur;Ein Bonus;Ein Abzug;B;§ 165 SGB III;Wenn der AG pleite ist, zahlt die Arbeitsagentur für bis zu drei Monate das ausstehende Gehalt.
402;IT-Datenschutz;Darf die KI über eine Kündigung entscheiden?;Ja;Nein (Mensch muss entscheiden);Nur bei Stahl;Nur nachts;B;Art. 22 DSGVO;Automatisierte Entscheidungen im Einzelfall, die rechtliche Wirkung entfalten, sind ohne menschliches Eingreifen unzulässig.
403;IT-Datenschutz;Muss der BR bei "Predictive Maintenance" (KI) mitreden?;Nein;Ja (wegen Überwachungspotenzial);Nur bei Hitze;Nur im Büro;B;§ 87 Abs. 1 Nr. 6 BetrVG;Systeme, die Maschinen überwachen, können oft auch Rückschlüsse auf das Verhalten der Bediener zulassen.
404;Rechte;Haftet ein BR-Mitglied privat für falsche Beschlüsse?;Ja;Nein (außer bei grober Fahrlässigkeit);Nur bei Stahl;Nur bei Geld;B;Rechtsprechung;BR-Mitglieder genießen einen weitgehenden Haftungsschutz bei der Ausübung ihres Amtes.
405;Arbeitsschutz;Darf der BR eine "Gefährdungsbeurteilung psychischer Belastung" fordern?;Nein;Ja (zwingendes Recht);Nur im Büro;Nur nachts;B;§ 5 ArbSchG / § 87 BetrVG;Der AG muss auch psychische Belastungen (Stress, Lärm, Überforderung) beurteilen und Maßnahmen mit dem BR abstimmen.
406;Gehalt;Was ist eine "Sonn- und Feiertagszulage"?;Bonus für Urlaub;Zuschlag für Arbeit an diesen Tagen;Ein Abzug;Ein Kredit;B;Tarifrecht / § 87;Die Verteilung und Höhe dieser Zulagen ist ein klassisches Feld der Mitbestimmung (oft tariflich fixiert).
407;Gleichstellung;Was ist ein "Gleichstellungsplan"?;Ein Kochbuch;Plan zur Förderung von Frauen/Minderheiten;Ein Kündigungsgrund;Ein Abzug;B;§ 80 / § 92 BetrVG;Der BR kann Maßnahmen vorschlagen, um die tatsächliche Gleichstellung von Mann und Frau im Betrieb durchzusetzen.
408;Personal;Darf der BR "Bewerbertests" (Psychotests) ablehnen?;Nein;Ja (Zustimmung erforderlich);Nur bei Chefs;Nur bei Azubis;B;§ 94 BetrVG;Persönlichkeitsfragen in Tests unterliegen der Mitbestimmung; der BR kann unangemessene Tests stoppen.
409;Allgemein;Was ist eine "Außerordentliche Betriebsversammlung"?;Ein Fest;Versammlung aus wichtigem Grund;Ein Streik;Ein Abzug;B;§ 43 Abs. 3 BetrVG;Auf Wunsch des AG oder eines Viertels der Wahlberechtigten muss der BR eine Versammlung einberufen.
410;Kuendigung;Was ist ein "Sonderkündigungsschutz" für den BR?;Kein Schutz;Kündigung nur mit BR-Zustimmung/Gericht;Nur bei Stahl;Nur nachts;B;§ 15 KSchG / § 103 BetrVG;BR-Mitglieder können ordentlich nicht gekündigt werden; fristlos nur mit Zustimmung des BR oder des Gerichts.
411;Arbeitszeit;Darf der AG "Rüstzeiten" (Umziehen/Waschen) unbezahlt lassen?;Ja;Nein (wenn Pflichtkleidung);Nur bei Stahl;Nur nachts;B;BAG Urteile;Ist das Tragen von Schutzkleidung im Betrieb Pflicht, gehört das Umziehen und Waschen im Werk zur bezahlten Arbeitszeit.
412;Stahl;Was regelt die "Europäische Mitbestimmung" (SE)?;Urlaub;Mitbestimmung in EU-weiten Firmen;Lohn;Ein Abzug;B;SEBG;In einer Europäischen Aktiengesellschaft (SE) gelten besondere Regeln für den Aufsichtsrat und den SE-Betriebsrat.
413;Rechte;Darf der BR "Öffentlichkeitsarbeit" gegen den AG machen?;Ja (in engen Grenzen/Sachlichkeit);Nein;Nur bei Streik;Nur nachts;A;§ 2 / § 74 BetrVG;Der BR darf die Belegschaft informieren, muss aber das Gebot der vertrauensvollen Zusammenarbeit (keine Schmähkritik) achten.
414;Urlaub;Was ist "Zwangsurlaub"?;Ein Fest;Einseitig angeordneter Urlaub durch AG;Ein Streik;Ein Abzug;B;§ 7 BUrlG;Zwangsurlaub ist nur in extremen Ausnahmefällen (z.B. Betriebsstörung) und meist nur mit BR-Zustimmung zulässig.
415;Gleichstellung;Was ist "Lohngerechtigkeit"?;Alle verdienen gleich;Gleicher Lohn für gleiche/gleichwertige Arbeit;Ein Gesetz;Ein Abzug;B;EntgTranspG / Art. 157 AEUV;Frauen und Männer müssen für die gleiche Arbeit das gleiche Entgelt erhalten.
416;IT-Datenschutz;Darf der AG "Social Media Profile" von Bewerbern prüfen?;Immer;Nein (nur öffentlich/berufliche Profile);Nie;Nur bei Chefs;B;DSGVO;Das Ausspähen privater Profile (z.B. privates Facebook) ist datenschutzrechtlich unzulässig.
417;Personal;Darf der BR "Personalfragebögen für Externe" mitbestimmen?;Nein;Ja (allgemeine Fragebögen);Nur bei Stahl;Nur nachts;B;§ 94 BetrVG;Fragebögen, die zur Beurteilung von Bewerbern genutzt werden, bedürfen der Zustimmung des BR.
418;Allgemein;Darf der BR "per Video" tagen?;Nein;Ja (unter Voraussetzungen/Geschäftsordnung);Nur bei Streik;Nur nachts;B;§ 30 Abs. 2 BetrVG;Seit der Gesetzänderung sind Videositzungen erlaubt, wenn die Voraussetzungen in der Geschäftsordnung geregelt sind.
419;Versetzung;Gilt eine "Änderungskündigung" als Versetzung?;Nein;Ja (plus Kündigungsrecht);Nur bei Stahl;Nur bei Azubis;B;§ 2 KSchG / § 99 BetrVG;Hier wird das alte Verhältnis gekündigt und ein neues (mit geänderten Bedingungen) angeboten. Der BR ist doppelt zu beteiligen.
420;Kuendigung;Darf der AG "wegen häufiger Kurzzeiterkrankung" kündigen?;Nein;Ja (unter strengen Bedingungen);Nur bei Diebstahl;Nur im Sommer;B;KSchG / BAG;Möglich, wenn eine negative Gesundheitsprognose vorliegt und der Betrieb erheblich belastet wird (hohe Entgeltfortzahlung).
421;Arbeitszeit;Darf der BR "Schichttausch" unter Kollegen erlauben?;Nein;Ja (Regelung per BV);Nur bei Stahl;Nur nachts;B;§ 87 Abs. 1 Nr. 2 BetrVG;Der BR kann ein Verfahren vereinbaren, nach dem MA unkompliziert Schichten tauschen dürfen.
422;Stahl;Was ist ein "Aufsichtsrats-Ausschuss"?;Ein Fest;Untergruppe des AR für Spezialthemen;Ein Azubi;Ein Polizist;B;AktG;Der Aufsichtsrat kann Ausschüsse (z.B. Prüfungsausschuss, Personalausschuss) bilden, um die Arbeit zu effizienter zu gestalten.
423;Rechte;Darf der BR "Kosten für Fachliteratur" verlangen?;Nein;Ja (erforderliche Gesetzestexte/Kommentare);Nur bei Streik;Nur nachts;B;§ 40 Abs. 2 BetrVG;Der AG muss die Kosten für Fachzeitschriften und Kommentare zum BetrVG tragen, damit der BR rechtssicher arbeiten kann.
424;Arbeitsschutz;Was ist die "Arbeitsstättenverordnung"?;Regeln für Lohn;Vorschriften für die Gestaltung von Betrieben;Ein Gesetz für Urlaub;Ein Abzug;B;ArbStättV;Regelt Anforderungen an Belüftung, Temperatur, Toiletten, Pausenräume und Sicherheit im Gebäude.
425;Gehalt;Was ist "Entgeltfortzahlung"?;Lohn bei Arbeit;Lohn bei Krankheit/Urlaub;Ein Kredit;Ein Abzug;B;EntgFG;Der AG zahlt bei Krankheit bis zu 6 Wochen das volle Gehalt weiter.
426;Bildung;Darf ein "Ersatzmitglied" auf Schulung, wenn es nie nachrückt?;Nein;Nur in Ausnahmefällen;Immer;Nur nachts;A;§ 37 Abs. 6 BetrVG;Schulungsanspruch besteht für Ersatzmitglieder nur, wenn ein häufiges Nachrücken konkret absehbar ist.
427;Allgemein;Was ist eine "Amtszeit-Überschreitung"?;Ein Lob;Tätigkeit nach Ende der Wahlperiode;Ein Kündigungsgrund;Ein Abzug;B;§ 21 BetrVG;Der BR bleibt im Amt, bis der neue BR gewählt und das Ergebnis bekannt gegeben ist (Übergangsmandat unter Bedingungen).
428;IT-Datenschutz;Darf der AG "Biometrische Daten" (Iris-Scan) erzwingen?;Ja;Nein (nur bei extremem Sicherheitsbedarf);Nur bei Stahl;Nur bei Azubis;B;§ 26 BDSG;Biometrie ist hochsensibel; der BR muss hier besonders auf die Verhältnismäßigkeit achten.
429;Jugend;Darf die JAV "Übernahmegarantien" fordern?;Nein;Ja (Verhandlung über BR);Nur bei Streik;Nur nachts;B;§ 78a BetrVG;Azubis, die in der JAV sind, haben einen gesetzlichen Anspruch auf Übernahme in ein unbefristetes Arbeitsverhältnis.
430;Arbeitszeit;Darf der AG "Pausen" am Arbeitsplatz verbieten?;Ja (Erholungszweck);Nein;Nur bei Stahl;Nur im Büro;A;§ 4 ArbZG;Pausen dienen der Erholung; der MA muss den Arbeitsplatz verlassen dürfen, um wirklich "abzuschalten".
431;Stahl;Darf der BR "Werkswohnungen" mitbestimmen?;Nein;Ja (Zuweisung und Kündigung);Nur bei Hitze;Nur nachts;B;§ 87 Abs. 1 Nr. 9 BetrVG;Soweit der AG Wohnungen für MA bereitstellt, hat der BR bei den allgemeinen Bedingungen mitzureden.
432;Abmahnung;Muss eine Abmahnung "begründet" sein?;Ja;Nein;Nur bei Stahl;Nur bei Azubis;A;Arbeitsrecht;Eine Abmahnung muss das Fehlverhalten genau beschreiben (Datum, Uhrzeit, Ort) und für den Wiederholungsfall warnen.
433;Urlaub;Was ist "Urlaubsübertragung"?;Urlaub schenken;Mitnahme von Resturlaub ins Folgejahr;Ein Streik;Ein Abzug;B;§ 7 Abs. 3 BUrlG;Nur bei dringenden betrieblichen oder persönlichen Gründen statthaft.
434;Betriebsvereinbarung;Gilt eine BV bei "Betriebsübergang" weiter?;Nein;Ja (in der Regel 1 Jahr als Vertragsbestandteil);Nur bei Stahl;Nur bei Chefs;B;§ 613a BGB;Wird ein Betrieb verkauft, gehen die Rechte aus BVs in die Arbeitsverträge über und dürfen 1 Jahr nicht verschlechtert werden.
435;Personal;Darf der BR "Altersgrenzen" in Ausschreibungen fordern?;Nein;Nein (Diskriminierungsverbot);Nur bei Stahl;Nur nachts;B;§ 1 / § 7 AGG;Stellenausschreibungen dürfen niemanden wegen seines Alters benachteiligen.
436;Arbeitsschutz;Muss der BR bei "Kälteschutzkleidung" mitreden?;Nein;Ja (Gesundheitsschutz);Nur im Winter;Nur nachts;B;§ 87 Abs. 1 Nr. 7 BetrVG;Auch Schutz gegen Kälte (z.B. in Kühlhäusern oder im Freien) unterliegt der Mitbestimmung.
437;Kuendigung;Darf der AG kündigen, wenn der MA "unpünktlich" ist?;Nein;Ja (nach Abmahnung/verhaltensbedingt);Nur bei Diebstahl;Nur im Sommer;B;KSchG / BAG;Wiederholte Unpünktlichkeit ist ein Verstoß gegen die Arbeitspflicht und kann zur Kündigung führen.
438;Arbeitszeit;Darf der BR "Mindestbesetzung" in der Schicht fordern?;Nein;Ja (Arbeitsschutz/Belastung);Nur bei Stahl;Nur nachts;B;§ 87 Abs. 1 Nr. 7 BetrVG;Zu dünne Personaldecken führen zu Gesundheitsgefahren; hier kann der BR über den Gesundheitsschutz eingreifen.
439;Stahl;Was regelt die "Stahl-Rente"?;Urlaub;Zusatzversorgungssystem der Stahlindustrie;Lohn;Ein Abzug;B;TV Altersvorsorge;Besonders attraktive betriebliche Altersvorsorge für Beschäftigte im Montan-Bereich.
440;Allgemein;Was ist ein "Wahlabbruch"?;Ein Fest;Stopp der BR-Wahl (nur durch Gericht);Ein Streik;Ein Abzug;B;Wahlordnung;Eine laufende Wahl kann nur bei schwersten Fehlern durch das Arbeitsgericht abgebrochen werden.
441;IT-Datenschutz;Darf der AG "E-Learning" überwachen?;Ja;Nein (nur Teilnahme, nicht Ergebnisse/Dauer);Nur bei Chefs;Nur bei Azubis;B;§ 87 / DSGVO;Die Auswertung von Lerngeschwindigkeiten oder Fehlerraten ist ohne BV unzulässig.
442;Freistellung;Darf der freigestellte BR "Fortbildung im alten Job" machen?;Nein;Ja (Anspruch auf Qualifizierung);Nur bei Streik;Nur nachts;B;§ 37 / § 38 BetrVG;Der Freigestellte darf nicht den Anschluss an seinen eigentlichen Beruf verlieren; der AG muss dies fördern.
443;Versetzung;Darf der AG einen MA "ins Ausland" versetzen?;Ja (wenn im Vertrag);Nein;Nur bei Stahl;Nur bei Chefs;A;Arbeitsrecht;Das Direktionsrecht erlaubt Versetzungen ins Ausland nur, wenn dies im Arbeitsvertrag ausdrücklich vereinbart wurde.
444;Geheimhaltung;Darf der BR "Gehaltslisten" fotografieren?;Nein (nur Notizen/Einsicht);Ja;Nur bei Streik;Nur nachts;A;§ 80 Abs. 2 BetrVG;Das Einsichtsrecht umfasst das Lesen und Notieren; Kopien oder Fotos sind ohne Zustimmung des AG meist unzulässig.
445;Betriebsvereinbarung;Was ist eine "Sprechklausel"?;Regel für Mikrofone;Verweis in der BV auf den Tarifvertrag;Ein Gesetz;Ein Abzug;B;Tarifrecht;Erlaubt es, in der BV Details zu regeln, die eigentlich tariflich gesperrt wären.
446;Arbeitsschutz;Muss der BR bei der "Bestellung des Werkschutzes" mitreden?;Nein;Ja (Ordnungsverhalten/Überwachung);Nur bei Diebstahl;Nur nachts;B;§ 87 Abs. 1 Nr. 1 BetrVG;Da der Werkschutz das Verhalten der MA überwacht, hat der BR ein Mitbestimmungsrecht bei den Aufgaben.
447;Kuendigung;Was ist eine "Massenentlassung"?;Eine Kündigung;Entlassung vieler MA in kurzer Zeit;Ein Fest;Ein Abzug;B;§ 17 KSchG;Erfordert besondere Konsultationen mit dem BR und Meldungen an die Behörden.
448;Urlaub;Darf der BR "Resturlaub-Verfall" verhindern?;Nein;Ja (Überwachung des BUrlG);Nur bei Stahl;Nur im Winter;B;§ 7 BUrlG / EuGH;Der BR muss darauf achten, dass der AG die MA rechtzeitig auffordert, den Urlaub zu nehmen, damit dieser nicht verfällt.
449;Arbeitszeit;Darf der AG "Arbeitszeitbetrug" fristlos kündigen?;Nein;Ja (Vertrauensbruch);Nur bei Stahl;Nur bei Azubis;B;§ 626 BGB;Das vorsätzliche Manipulieren der Zeiterfassung ist ein schwerer Vertrauensbruch und rechtfertigt meist die fristlose Entlassung.
450;Personal;Darf der BR die Namen von Leiharbeitern fordern?;Nein;Ja (Kontrollrecht);Nur bei Streik;Nur bei Unfällen;B;§ 80 Abs. 2 BetrVG;Der AG muss dem BR die Namen und Einsatzorte von Leiharbeitnehmern zur Überprüfung der Rechtslage mitteilen.
451;Personal;Was ist die "Höchstüberlassungsdauer"?;1 Jahr;18 Monate;3 Jahre;Ewig;B;§ 1 Abs. 1b AÜG;Leiharbeitnehmer dürfen in der Regel nicht länger als 18 aufeinanderfolgende Monate demselben Entleiher überlassen werden.
452;Gleichstellung;Darf der BR eine "Beschwerdestelle für Mobbing" fordern?;Nein;Ja (Schutz der Persönlichkeit);Nur im Büro;Nur nachts;B;§ 75 / § 84 BetrVG;Der BR hat darüber zu wachen, dass die freie Entfaltung der Persönlichkeit der MA geschützt wird.
453;Gleichstellung;Was ist das "AGG"?;Ein Sportverein;Allgemeines Gleichbehandlungsgesetz;Lohnsteuer;Pause;B;AGG;Gesetz zum Schutz vor Benachteiligung wegen Rasse, Geschlecht, Religion, Alter oder Behinderung.
454;Allgemein;Was ist eine "Betriebsteilstilllegung"?;Ein Fest;Schließung einer Abteilung;Eine Kündigung;Ein Abzug;B;§ 111 BetrVG;Eine Betriebsänderung, bei der ein abgrenzbarer Teil des Betriebs dauerhaft geschlossen wird.
455;Allgemein;Darf der BR eine "Mitarbeiter-App" fordern?;Nein;Ja (Initiativrecht zur Information);Nur bei Apple;Nur im Büro;B;§ 40 / § 2 BetrVG;Der BR kann verlangen, dass moderne Kommunikationsmittel zur Information der Belegschaft genutzt werden.
456;IT-Datenschutz;Darf der AG "Privat-Laptops" am Firmennetz verbieten?;Nein;Ja (IT-Sicherheit);Nur bei Stahl;Nur nachts;B;IT-Sicherheit;Aus Gründen der Datensicherheit kann der AG das Anschließen privater Hardware untersagen.
457;IT-Datenschutz;Was ist ein "Systemadministrator"?;Der Chef;Technischer Verwalter der IT;Ein Azubi;Ein Polizist;B;DSGVO;Er hat weitreichende Zugriffsrechte und muss daher besonders auf den Datenschutz verpflichtet werden.
458;Rechte;Darf der BR-Vorsitzende ein "Diensthandy" verlangen?;Nein;Ja (Erforderlichkeit);Nur bei Streik;Nur nachts;B;§ 40 Abs. 2 BetrVG;Wenn der Vorsitzende ständig erreichbar sein muss (z.B. im Werk), ist ein Handy ein erforderliches Sachmittel.
459;Arbeitszeit;Darf der BR "Rüstzeit" für Azubis kontrollieren?;Nein;Ja (Überwachung JArbSchG);Nur bei Stahl;Nur nachts;B;§ 80 BetrVG;Der BR muss prüfen, ob die Lernzeiten und Vorbereitungszeiten für Azubis korrekt als Arbeitszeit gewertet werden.
460;Stahl;Was regelt die "Montan-Sicherung"?;Urlaub;Spezielle Absicherung bei Konzernumwandlung;Lohn;Pause;B;MontanMitbestGErgG;Sichert, dass die Arbeitnehmerrechte erhalten bleiben, wenn ein Montan-Unternehmen seine Struktur ändert.
461;Kuendigung;Darf der BR eine Kündigung wegen "Gewerkschaftsarbeit" ablehnen?;Ja (Verstoß gegen Grundgesetz);Nein;Nur bei Stahl;Nur nachts;A;Art. 9 Abs. 3 GG;Niemand darf wegen seiner Zugehörigkeit oder Tätigkeit in einer Gewerkschaft benachteiligt oder gekündigt werden.
462;Kuendigung;Was ist ein "Abwicklungsvertrag"?;Ein Fest;Vertrag nach einer Kündigung (keine Klage);Ein Lob;Ein Darlehen;B;Arbeitsrecht;Der MA akzeptiert die Kündigung und verzichtet gegen Abfindung auf eine Klage.
463;Arbeitsschutz;Muss der BR bei der "Arbeitsschutzkleidung-Farbe" mitreden?;Nein (meist Geschmack);Ja (wenn Sicherheitsfunktion);Nur bei Gelb;Nur nachts;B;§ 87 Abs. 1 Nr. 7 BetrVG;Die Farbe ist mitbestimmungspflichtig, wenn sie der Erkennbarkeit dient (Warnkleidung).
464;Arbeitsschutz;Darf der BR eine "Kantine mit gesundem Essen" fordern?;Nein;Ja (Soziale Einrichtung);Nur im Büro;Nur im Sommer;B;§ 87 Abs. 1 Nr. 8 BetrVG;Über die Ausgestaltung der Verpflegungseinrichtungen im Betrieb entscheidet der BR mit.
465;Personal;Was ist eine "Leistungsbeurteilung"?;Ein Lob;Systematische Bewertung der Arbeit;Ein Kündigungsgrund;Ein Abzug;B;§ 94 / § 87 BetrVG;Die Kriterien und Methoden einer Beurteilung unterliegen der Mitbestimmung des BR.
466;Personal;Darf der AG "Headhunter" einsetzen?;Ja;Nein (nur über BR);Nur bei Stahl;Nur nachts;A;Direktionsrecht;Der AG kann externe Personalvermittler beauftragen, muss aber bei der Einstellung dennoch den BR beteiligen.
467;Gehalt;Was ist eine "Zulage für Erfindung"?;Bonus für Urlaub;Vergütung für Patente;Ein Abzug;Ein Kredit;B;ArbnErfG;Arbeitnehmererfindungen müssen vom AG vergütet werden, wenn er sie in Anspruch nimmt.
468;Gehalt;Darf der BR "Urlaubsgeld-Kürzung" bei Krankheit fordern?;Nein;Ja (Anwesenheitsprämie);Nur bei Stahl;Nur nachts;B;§ 4a EntgFG;Sondervergütungen können unter bestimmten Bedingungen bei Krankheit gekürzt werden; der BR entscheidet über die Grundsätze mit.
469;Bildung;Darf der BR "Englischkurse" besuchen?;Nein;Ja (wenn Konzernsprache Englisch ist);Nur der Vorsitz;Nur privat;B;§ 37 Abs. 6 BetrVG;Ist die Kommunikation im Betrieb (z.B. mit dem Management) nur auf Englisch möglich, ist ein Kurs erforderlich.
470;Allgemein;Was passiert bei "Amtsniederlegung" des gesamten BR?;Chef übernimmt;Neuwahlen erforderlich;Streik;Insolvenz;B;§ 13 Abs. 2 BetrVG;Tritt der BR geschlossen zurück, muss unverzüglich ein Wahlvorstand für Neuwahlen bestellt werden.
471;Allgemein;Darf ein "Leitender Angestellter" den BR wählen?;Ja;Nein;Nur wenn er will;Nur bei Stahl;B;§ 5 Abs. 3 BetrVG;Leitende Angestellte sind vom Betriebsverfassungsgesetz weitgehend ausgenommen und wählen den BR nicht.
472;Stahl;Darf der BR "Hütten-Besichtigungen" für Externe stoppen?;Nein;Ja (wenn Sicherheit gefährdet);Nur bei Stahl;Nur nachts;B;§ 80 / § 87 BetrVG;Aus Gründen der Ordnung und Sicherheit im Betrieb kann der BR Regelungen für Werksführungen mitbestimmen.
473;Arbeitszeit;Darf der AG "Rauchpausen" vom Lohn abziehen?;Ja (keine Arbeitszeit);Nein;Nur bei Stahl;Nur im Büro;A;Arbeitsrecht;Rauchpausen sind in der Regel keine bezahlte Arbeitszeit; der BR kann aber die Lage der Pausen mitbestimmen.
474;Arbeitszeit;Muss der BR bei "Kameraüberwachung von Parkplätzen" zustimmen?;Nein;Ja (Verhaltenskontrolle);Nur bei Diebstahl;Nur nachts;B;§ 87 Abs. 1 Nr. 6 BetrVG;Da Parkplätze zum Betriebsgelände gehören, unterliegt die Videoüberwachung der Mitbestimmung.
475;Rechte;Darf der BR "Informationsbroschüren" im Werk verteilen?;Nein;Ja (Unterrichtungsrecht);Nur bei Streik;Nur nachts;B;§ 2 / § 40 BetrVG;Der BR darf die Belegschaft über seine Arbeit und arbeitsrechtliche Themen informieren.
476;Arbeitsschutz;Was ist ein "Sicherheitsbeauftragter"?;Ein Türsteher;MA, der den AG vor Ort unterstützt;Ein Polizist;Der BR-Chef;B;§ 22 SGB VII;In Betrieben mit mehr als 20 MA müssen Sicherheitsbeauftragte bestellt werden.
477;Personal;Darf der BR die "Befristung" eines Vertrags prüfen?;Nein;Ja (bei Einstellung);Nur bei Stahl;Nur bei Azubis;B;§ 99 BetrVG / TzBfG;Der BR prüft bei der Einstellung, ob ein sachlicher Grund für die Befristung vorliegt.
478;Personal;Was ist eine "Umsetzung"?;Ein Umzug;Zuweisung eines anderen Platzes ohne Versetzung;Eine Kündigung;Ein Abzug;B;§ 95 Abs. 3 BetrVG;Eine kurzfristige oder geringfügige Änderung des Arbeitsplatzes, die noch keine Versetzung im Sinne des Gesetzes ist.
